Seconds,R_Time,Depth,Lat,Long,Resp_Num,Sleep_Num,Stroke_Rate,Heart_Rate,heading,pitch,roll
354195,2021-04-09 11:58:03,-1.16161117526188,37.1165238107945,-122.322821319963,2,1,1.687405,95.65589,2.82227114847353,-0.79172717594798,0.0732147209526496
354196,2021-04-09 11:58:04,-1.11928288022142,37.1165219920851,-122.322818692849,2,1,1.687405,96.35427,2.50495277682398,-0.31552050850126,-0.0690496282658161
354197,2021-04-09 11:58:05,-1.15357874672568,37.1165197993547,-122.322816028748,2,1,1.687405,97.80366,2.36225259215519,-0.136193690326837,0.0508401719458597
354198,2021-04-09 11:58:06,-1.14725294684145,37.1165174025425,-122.32281309173,2,1,1.687405,98.97111,2.40261449457466,-0.139600506827709,0.0466005339623673
354199,2021-04-09 11:58:07,-1.10293232460344,37.1165148533761,-122.322809832471,2,1,1.687405,99.62641,2.33529117949243,-0.129265950227805,0.0821587719283156
354200,2021-04-09 11:58:08,-1.15657762442056,37.1165121445415,-122.322806273261,2,1,1.687405,100.4439,2.28728897621915,-0.124125455946371,0.0931929563577832
354201,2021-04-09 11:58:09,-1.11305562324727,37.1165092262409,-122.322802484864,2,1,1.687405,100.9559,2.32772419721746,-0.13161774762143,0.0786076134860745
354202,2021-04-09 11:58:10,-1.13679503868104,37.116506050251,-122.322798554657,2,1,10.49378,101.6663,2.3579423868034,-0.163018003246509,0.0852961587141293
354203,2021-04-09 11:58:11,-1.06009475485585,37.1165027014415,-122.322794421927,2,1,28.10651,102.3681,2.36167313266062,-0.149229496859239,0.0530197278195195
354204,2021-04-09 11:58:12,-1.12229652446108,37.1164991869364,-122.322790084361,2,1,28.10651,101.6942,2.37895370363745,-0.145541441070477,0.0621894753049524
354205,2021-04-09 11:58:13,-1.12510149255693,37.1164955039521,-122.322785578182,2,1,28.1432,82.70585,2.33662506075336,-0.140805894768917,0.0619790534541322
354206,2021-04-09 11:58:14,-1.13109511933569,37.1164916937366,-122.322780926119,2,1,28.21656,80.52681,2.3764211502368,-0.192219341329823,0.0528240740389569
354207,2021-04-09 11:58:15,-1.16589837359851,37.1164877832269,-122.322776112596,2,1,37.12387,101.9863,2.34113733829734,-0.142820623304864,0.0717019409499462
354208,2021-04-09 11:58:16,-1.09446093381965,37.1164838007973,-122.322771164197,2,1,46.72917,101.8315,2.33427258442298,-0.143723785095088,0.0688650383054466
354209,2021-04-09 11:58:17,-1.15002016042521,37.1164797410619,-122.322766139473,2,1,30.31057,78.15715,2.33159823153081,-0.140842962759268,0.0711802324842041
354210,2021-04-09 11:58:18,-1.14417201393048,37.116475627587,-122.32276105586,2,1,39.55617,21.34432,2.35033205804463,-0.142374797208568,0.0656094932329268
354211,2021-04-09 11:58:19,-1.16768368382686,37.1164715054967,-122.322755915721,2,1,48.93468,21.34432,2.33783932954355,-0.141894926074258,0.0702581051393204
354212,2021-04-09 11:58:20,-1.15781446535558,37.116467358525,-122.322750783448,2,1,30.70933,23.10246,2.35218070370604,-0.142259474745583,0.0675283854914982
354213,2021-04-09 11:58:21,-1.13334346950069,37.1164631708398,-122.322745761467,2,1,27.96717,26.61874,2.38739159652684,-0.151815296302627,0.0639959315802446
354214,2021-04-09 11:58:22,-1.1474903090626,37.1164592163144,-122.322740587122,2,1,22.48286,74.44719,2.23861024440324,-0.0862156936630545,0.0615751129631147
